編號,材料黏度 (cps),形狀,抬升高度(μm),抬升速度(μm/s),等待時間(s),下降速度((μm)/s),面積(mm?),周長(mm),水力直徑(mm),回流（完全是0不完全是1）,荷重元最大值_Fmax,波峰後斜率_Slope,曲線面積_Area
467,150,90x50六角形,2000,700,1.0,4000,2830.54,209.57,54.03,0,10600.68,-1051.2299999999293,12826.166499999992
468,150,90x50六角形,2000,700,1.0,4000,2830.54,209.57,54.03,0,10491.684,-252.65999999999053,12815.645599999987
469,150,90x50六角形,2000,700,1.0,4000,2830.54,209.57,54.03,0,10089.264,-1.7647295704795079e-12,13218.453000000016
470,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4305.408,-7212.659999999986,4323.7878
471,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4139.286,-7773.529999999956,5641.017299999999
472,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4215.028,-5210.520000000037,5549.188400000001
473,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4200.1320000000005,-8533.930000000071,5514.056399999999
474,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4274.378000000001,-7883.149999999866,5931.914899999995
475,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4282.688,-6625.389999999905,6013.827900000001
476,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4270.108,-5559.74000000008,5947.402400000006
477,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4247.494,-5585.489999999996,5764.3517
478,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4242.468,-9118.57999999968,5650.217100000007
479,150,90x50六角形,2000,1000,1.0,4000,2830.54,209.57,54.03,0,4299.418000000001,-9251.260000000228,6185.4326
480,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,5930.426,-4358.400000000011,4528.8503
481,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,5930.0,-2910.0200000000136,6285.283999999998
482,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6158.794,-11751.589999999997,6303.673700000003
483,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6429.792,-12886.809999999983,6791.324800000002
484,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6676.618,-13115.36999999996,7002.3542000000125
485,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6310.782,-10381.51000000024,6153.761600000003
486,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6332.844000000001,-3180.980000000079,6414.229199999999
487,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6448.21,-9461.3800000002,6653.146999999994
488,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6452.224,-7267.490000000194,6467.810099999991
489,150,50圓柱,1500,400,0.5,8000,1582.79,148.9,42.52,0,6291.646000000001,-1917.6299999999933,6204.11810000001
490,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,6394.5560000000005,-8001.650000000022,3687.9428000000007
491,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,6337.756,-2964.3500000000404,5055.732400000001
492,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,6468.444,-12847.26999999994,5386.791099999997
493,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,6365.846,-1345.9999999999868,5171.997499999998
494,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,5684.1,-7469.309999999954,4408.917999999999
495,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,5579.574,-9721.249999999716,4478.167999999989
496,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,5591.656,-5013.399999999952,4052.648899999991
497,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,5644.284,-6380.530000000093,4582.139099999993
498,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,5501.3820000000005,-9772.4599999998,4560.111999999996
499,150,50圓柱,1500,700,0.5,8000,1582.79,148.9,42.52,0,5569.966,-1221.0799999999908,4213.993399999993
500,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,4128.896,-15601.769999999717,4201.9292
501,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,4657.508,-12299.22999999969,7137.897399999998
502,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,5089.7300000000005,-11220.139999999908,6408.281499999997
503,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,5845.538,-16975.459999999595,7678.545399999997
504,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,5845.005999999999,-21935.349999999737,7292.981200000012
505,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,5898.612,-18975.74000000085,7525.036100000001
506,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,5965.700000000001,-17013.950000001063,7375.587499999992
507,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,6064.364,-21250.879999999943,7609.041200000005
508,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,6283.662,-18255.59000000416,7840.907900000002
509,150,50圓柱,1500,1000,0.5,8000,1582.79,148.9,42.52,0,6476.599999999999,-17887.330000000897,8364.553500000007
530,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,4604.25,-151.1099999999982,6814.3515
531,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,4665.702,-197.95000000000144,7201.984000000001
532,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,5331.139999999999,-494.9200000000152,8172.843499999996
533,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,5973.074,-237.7599999999871,9896.730400000002
534,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,5875.18,-298.3800000000097,9224.051000000009
535,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,5854.058,-380.7799999999889,9038.891200000016
536,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,5790.402,-454.2899999999804,8935.793699999997
537,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,5753.763999999999,-384.4600000000065,8276.069499999989
538,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,6245.724,-418.5999999999904,9918.733500000004
539,150,50圓柱,1500,1000,1.0,8000,1582.79,148.9,42.52,0,6193.026,-321.2499999999661,9950.353399999984
540,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,4643.532,-802.4300000000046,5317.179099999999
541,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,4742.8820000000005,-219.97999999999664,5634.3496000000005
542,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,5734.734,-466.1299999999848,6926.843000000001
543,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,5924.654,-293.5000000000043,7132.611200000001
544,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,5914.946,-297.25000000000216,7226.316400000002
545,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,5899.248,-273.08000000000385,7136.390400000011
546,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,5836.292,-384.18999999998834,7014.69430000001
547,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,5811.468,-502.6600000000088,6531.272200000007
548,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,6269.673999999999,-442.5499999999678,7791.030200000005
549,150,50圓柱,1000,400,0.5,8000,1582.79,148.9,42.52,1,6211.602,-362.8400000000101,7693.7587999999805
550,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,4770.368,-603.8999999999847,4766.528700000001
551,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5128.9980000000005,-621.3300000000121,5198.911
552,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5970.048,-309.16999999999496,7039.638800000001
553,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5983.0560000000005,-285.8599999999855,6346.439599999997
554,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5943.412,-333.9600000000117,6301.455200000003
555,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5909.458,-350.87999999999107,6322.749799999991
556,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5894.263999999999,-523.510000000031,8044.042399999997
557,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,5888.793999999999,-467.8600000000349,5834.718900000007
558,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,6250.0560000000005,-856.8400000000308,6725.069499999988
559,150,50圓柱,1000,700,0.5,8000,1582.79,148.9,42.52,1,6249.802000000001,-1248.5300000000295,7579.544800000009
560,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,6783.44,-13128.180000000111,11582.360999999995
561,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8026.704,-14513.119999999904,13462.910300000003
562,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8234.272,-21010.819999999552,13647.583700000005
563,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8425.01,-20830.8100000006,14272.712999999996
564,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8438.814,-20805.42999999968,14192.822900000008
565,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8534.18,-21307.90999999826,14442.7875
566,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8591.464,-21485.04000000058,14496.0029
567,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,8810.948,-22029.15999999855,14171.211300000004
568,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,9110.346,-29205.09000000102,15318.003100000014
569,150,50圓柱,1000,1000,0.5,8000,1582.79,148.9,42.52,1,9291.864,-17623.749999998723,15915.05859999999
580,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,6605.664,-12454.47000000004,7621.558500000001
581,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,6631.204000000001,-16511.60000000008,7963.795899999999
582,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,6786.746,-17081.5499999994,7620.0256
583,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,7051.96,-18267.83999999987,8755.268000000002
584,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,7139.034,-17908.730000000553,9862.217299999997
585,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,7175.096,-16977.37000000068,10088.240199999997
586,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,7033.544,-18187.65999999969,7105.165899999994
587,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,6761.226,-9529.139999999965,7288.505699999991
588,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,6879.792,-7158.960000000073,7240.728700000007
589,150,50圓柱,1000,700,1.0,8000,1582.79,148.9,42.52,1,6626.003999999999,-8639.980000000267,7227.658500000019
600,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,5751.013999999999,-9113.589999999984,7527.748399999999
601,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,7096.894,-19435.71000000028,12684.6822
602,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,7150.562,-14560.219999999736,13814.956799999998
603,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,7137.98,-19302.070000000844,13495.8165
604,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,7106.484,-18240.24000000024,13035.365999999998
605,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,5524.652,-11925.589999999784,8829.497300000006
606,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,6960.154,-16498.789999999986,11647.830100000016
607,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,5729.188,-8270.979999999512,9253.9242
608,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,6129.484,-11868.159999999974,10185.535600000008
609,150,50圓柱,1500,400,0.5,4000,1582.79,148.9,42.52,1,6509.014,-13796.619999999544,11278.480200000004
610,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,6379.758000000001,-7859.599999999984,5810.990200000001
611,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,6879.47,-13945.780000000015,8277.889500000001
612,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,6741.904,-16789.22999999989,8005.199100000002
613,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,7004.374000000001,-17309.57999999999,8720.338500000002
614,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,7001.486,-19037.40999999955,8840.076400000005
615,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,7011.462,-18481.259999999835,9017.4215
616,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,6931.122,-18863.73000000028,8686.030299999993
617,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,7046.186000000001,-18645.36000000016,9330.141499999992
618,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,7015.157999999999,-18497.189999998507,9062.248199999996
619,150,50圓柱,1500,700,0.5,4000,1582.79,148.9,42.52,0,7074.724,-18393.68999999929,9031.177400000011
620,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6745.378000000001,-18752.10999999974,5360.168999999998
621,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,7136.212,-19204.070000000225,7114.804999999998
622,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,7144.812,-19666.28000000004,7322.387499999998
623,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6998.317999999999,-13040.589999999913,6774.978799999997
624,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6912.108,-12075.97000000016,6179.631999999996
625,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6922.77,-14881.300000000052,6166.415500000009
626,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6829.386,-5596.289999999916,6286.913100000007
627,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6841.686,-10040.279999999775,5817.149999999989
628,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6830.108,-13034.410000000264,5977.780999999996
629,150,50圓柱,1500,1000,0.5,4000,1582.79,148.9,42.52,1,6785.700000000001,-14824.759999999373,6219.976999999986
630,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,4610.192,-12037.499999999734,5871.6774
631,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,5480.848,-13395.219999999668,7136.915899999997
632,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,5512.762000000001,-13365.48999999983,7826.400300000002
633,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,5602.746,-13823.560000000336,6701.1678
634,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,5958.396000000001,-18826.659999999505,8003.844799999993
635,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,5981.822,-13605.800000000338,7732.522599999996
636,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,6166.086000000001,-16645.829999998536,7920.9373
637,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,6310.1900000000005,-15593.020000001276,8146.481000000014
638,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,6462.2,-14977.839999999653,8382.511000000006
639,150,50圓柱,1500,400,1.0,4000,1582.79,148.9,42.52,0,6751.290000000001,-17665.629999999743,9113.57350000001
650,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,4988.804,-12173.509999999864,3877.107700000001
651,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5408.982,-13163.649999999836,4553.0038
652,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5674.66,-13435.250000000047,4651.983499999999
653,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5770.948,-14157.67000000024,4813.535999999998
654,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5747.727999999999,-14948.000000000397,4687.6821
655,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5737.820000000001,-17193.779999999122,4667.932000000001
656,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5650.386,-18920.34000000096,4784.084400000005
657,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,5944.35,-18137.90000000096,4577.2715
658,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,6029.490000000001,-14062.839999999667,4937.953500000003
659,150,50圓柱,1500,1000,1.0,4000,1582.79,148.9,42.52,0,6129.732,-16935.8600000006,5298.789200000003
660,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,4912.12,-307.26999999999543,7548.298
661,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,5186.198,-357.8999999999948,8110.426799999999
662,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,5722.426,-218.14000000001047,8986.871099999998
663,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,5746.686,-173.0999999999944,9189.924100000004
664,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,5703.142,-148.7700000000069,8995.23949999999
665,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,5711.698,-175.70999999999094,9010.906300000002
666,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,5634.834000000001,-249.20999999999972,8272.170900000006
667,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,6055.0960000000005,-275.0000000000114,9805.534599999994
668,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,6110.024,-327.679999999996,9605.739899999991
669,150,50圓柱,1000,400,0.5,4000,1582.79,148.9,42.52,1,6207.652,-524.6200000000513,10170.9918
680,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,10268.212,-21497.739999999936,13304.1482
681,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,10412.292,-25195.67999999995,14421.380999999996
682,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,10908.622,-19650.16000000053,16722.990499999996
683,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11403.28,-26032.0599999987,16773.978999999996
684,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11624.372,-29422.23000000066,16726.638200000016
685,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11704.224,-29389.599999996943,16502.943500000012
686,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11648.246,-27744.64999999925,15756.80599999999
687,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11371.684,-42425.9300000013,13401.688599999996
688,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11457.286,-33565.39000000209,16991.41959999999
689,150,50圓柱,1000,1000,0.5,4000,1582.79,148.9,42.52,1,11307.618,-33005.31999999857,16508.6474
690,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,4906.5560000000005,-352.82000000000073,5087.423300000001
691,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,5613.103999999999,-382.6300000000002,6176.360799999997
692,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,5816.942,-760.6800000000053,6536.496399999998
693,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,5736.42,-879.0299999999794,6326.510000000002
694,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,5702.5,-273.4900000000027,6137.651999999995
695,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,5710.76,-286.09999999999127,6689.306000000008
696,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,5975.941999999999,-422.00000000002,6178.420100000001
697,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,6031.920000000001,-243.4400000000217,6690.438499999998
698,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,6211.566000000001,-327.6499999999963,6796.180100000004
699,150,50圓柱,1000,400,1.0,4000,1582.79,148.9,42.52,1,6332.161999999998,-1631.64000000013,7191.371599999994
700,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,10032.926,-26968.2599999998,10348.5818
701,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,10864.362,-24905.65000000002,11412.863800000005
702,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,10563.39,-34574.66999999991,11068.040999999996
703,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,11012.77,-27155.35999999885,13410.600999999995
704,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,10766.422,-36712.58000000106,12398.667799999988
705,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,11439.716,-26640.919999999805,14202.252
706,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,11751.834,-27366.100000001014,14451.864000000016
707,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,11837.84,-30934.660000000385,13003.386500000011
708,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,11649.75,-33299.1600000007,12027.044000000016
709,150,50圓柱,1000,700,1.0,4000,1582.79,148.9,42.52,1,11617.1,-31059.20999999633,14110.386500000008
